Country Name;Air Pollution;Energía renovable;Forest Area;Energía Fosil
Iraq;56.56703027;0.91210465;1.90036115;95.98417678
Iceland;6.948896646;76.33887098;0.477805502;10.92848727
Israel;22.05914688;3.680132349;7.523105501;91.74963606
Italy;17.76927084;17.09035884;31.4244924;78.58642262
Jamaica;14.07433169;16.11678991;30.98614834;80.97134481
Jordan;33.20542058;3.130551865;1.09822032;97.60844665
Japan;12.58661692;5.625025887;68.46499783;94.4074689
Kazakhstan;13.74975351;1.305655116;1.225691744;99.17390731
Kenya;28.94935013;75.5181686;7.689496262;17.37957261
Kyrgyz Republic;23.29819153;26.60830703;3.362877998;75.47621896
Cambodia;28.58336628;68.00791011;54.29639922;30.6290814
Kiribati;11.39374232;3.465024455;14.99999953;
St. Kitts and Nevis;;1.697402808;42.30769231;
Korea, Rep.;27.21311037;2.838191508;63.54921582;82.3950038
Kuwait;55.62390422;0;0.350729517;93.68988945
Latin America & Caribbean (excluding high income);18.38906978;27.31696572;47.54132455;72.76429022
Lao PDR;28.39017177;60.47414119;80.46897849;
Lebanon;30.44456692;3.233519146;13.41348986;97.62110111
Liberia;14.94227071;83.93553433;43.6980897;
Libya;47.50123391;1.753929078;0.123327688;99.11129636
St. Lucia;24.23630259;2.145866181;33.37705018;
Latin America & Caribbean;18.39993651;27.08299299;46.38044314;73.34633718
Least developed countries: UN classification;44.4218263;73.4133848;29.38870373;28.22410489
Low income;40.04779592;76.22272115;25.44482394;21.13404809
Liechtenstein;;62.59202627;43.1250006;
Sri Lanka;26.92277652;57.58518113;33.11433739;50.54557398
Lower middle income;62.65168718;40.36593379;29.03910907;66.16532407
Low & middle income;51.9354768;22.82402683;32.02159024;80.72759802
Lesotho;33.08010261;51.38889849;1.581027668;
Late-demographic dividend;45.022155;14.07068249;39.00159707;86.18233309
Lithuania;12.84519425;27.70505248;34.76456504;67.99374947
Luxembourg;10.85761339;6.883231945;35.67901109;83.33175267
Latvia;14.8790851;40.2360616;53.96590701;56.71742757
Macao SAR, China;;10.02047062;;
St. Martin (French part);;;18.38235294;
Morocco;29.94944999;11.71858728;12.63723952;88.46886281
Monaco;;;;
Moldova;16.72646105;13.04735002;12.30301168;88.68802224
Madagascar;23.51776666;72.02652708;21.46613957;
Maldives;9.921230863;0.903032402;3.333333333;
Middle East & North Africa;50.52272979;1.601525036;2.065815943;97.35902122
Mexico;23.09968975;9.758462423;34.01918854;90.27848997
Marshall Islands;11.07022018;12.01899833;70.22222413;
Middle income;53.32300771;20.70462102;33.16462547;82.09626961
North Macedonia;31.79054123;21.20423858;39.57176844;79.42591466
Mali;33.91611574;64.59126071;3.928896319;
Malta;14.43540357;3.930100863;1.093749981;97.78846166
Myanmar;40.28896854;66.13285379;45.30440435;44.28989524
Middle East & North Africa (excluding high income);49.22615176;2.566794362;2.513001896;97.94704973
Montenegro;21.94705168;45.99433488;61.48698885;64.664697
Mongolia;39.29514006;3.269842824;8.14264018;93.19938283
Northern Mariana Islands;10.3134722;0;64.47826054;
Mozambique;22.61416414;88.85704783;48.50886141;12.61995347
Mauritania;43.11078408;32.01933582;0.221208887;
Mauritius;15.29264823;10.63386133;18.99507457;84.5423603
Malawi;25.19822884;79.95087904;33.57021638;
Malaysia;16.92315529;4.769773637;67.51118789;96.6281989
North America;8.142225682;10.22052873;36.01431774;81.97940165
Namibia;26.01812153;27.61747181;8.494212483;66.71909083
New Caledonia;;3.982523019;45.89715536;
Niger;60.54135722;78.14143846;0.911344458;24.06036815
Nigeria;48.63337361;87.29924781;8.127847972;18.87676676
Nicaragua;19.38772134;51.83928357;25.87668273;40.69539206
Netherlands;12.82879707;5.659627737;11.14277215;90.92188386
Norway;7.670895927;57.19640195;33.16690469;57.97823335
Nepal;98.11601657;84.37478906;25.3644925;15.4826794
Nauru;;0.07885016;0;
New Zealand;6.357903512;30.32263714;38.55455473;59.84684405
OECD members;15.22625036;11.80190326;31.3184924;80.21163446
Oman;37.71088051;0;0.006462036;99.96316865
Other small states;32.46595015;27.00113877;25.97796834;81.44851892
Pakistan;59.51836271;46.60452974;1.965286426;61.58536145
Panama;12.92161513;19.77078859;62.32714423;80.71266196
Peru;27.5826726;25.99686493;57.92234497;79.55568357
Philippines;20.25958716;28.58217185;26.1595734;62.43489629
Palau;;0;87.60869399;
Papua New Guinea;13.24529823;52.55234961;74.11076443;
Poland;22.21089179;11.56931553;30.74496164;90.0879643
Pre-demographic dividend;40.52465139;75.39540276;28.45018619;31.74205253
Puerto Rico;9.089227717;1.627869144;55.5400242;
Korea, Dem. People’s Rep.;35.2402154;21.03318699;42.83697367;62.05199476
Portugal;8.78479289;30.45700808;34.86031479;72.8127263
Paraguay;12.6410755;63.11693531;39.3868623;33.70331205
West Bank and Gaza;33.44828276;10.53025847;1.523255827;
Pacific island small states;12.00545886;32.65879226;61.57741622;
Post-demographic dividend;12.43480438;11.56193253;31.64711026;79.66363018
French Polynesia;;10.16235651;42.34972678;
Qatar;78.83284035;0;0;99.99502672
Romania;15.00649546;24.3318801;29.51929679;72.52369457
Russian Federation;16.58216295;3.422426946;49.76356898;92.14287582
Rwanda;42.21148744;88.18130377;19.18119223;
South Asia;83.06717057;38.99754223;17.44890875;71.52352351
Saudi Arabia;75.60844062;0.006008742;0.454484135;99.92801862
Sudan;48.14174218;62.43602847;;31.72652659
Senegal;36.82683776;43.35706358;43.17768659;53.90911721
Singapore;17.40887705;0.621625223;23.06064884;90.57887358
Solomon Islands;12.17203082;62.99314064;78.26366908;
Sierra Leone;17.69823222;73.05428622;41.29121505;
El Salvador;27.50259084;28.26544315;13.00193021;48.42958734
San Marino;;;0;
Somalia;30.40108067;94.42694974;10.2652466;
Serbia;26.49207255;23.42929075;31.0839252;83.87126164
Sub-Saharan Africa (excluding high income);37.20962214;70.30293926;27.80538841;39.78936584
South Sudan;41.90056033;29.82963329;;72.22263478
Sub-Saharan Africa;37.20808578;70.2864319;27.80670086;39.78936584
Small states;28.86819795;23.96495688;36.46641394;84.64713126
Sao Tome and Principe;27.86230189;41.80943769;55.83333174;
Suriname;25.99884713;25.38253637;98.306409;76.25349582
Slovak Republic;18.30418161;12.24275155;40.34525892;63.94609543
Slovenia;16.63270074;22.30048656;61.95630828;59.66320668
Sweden;6.959197681;49.69341469;68.92293339;29.77474727
Eswatini;17.97877739;67.69408862;33.802327;
Sint Maarten (Dutch part);;0.047959511;;
Seychelles;20.97051747;1.298537644;88.4130395;
Syrian Arab Republic;41.53448066;2.353229564;2.673855035;97.79178143
Turks and Caicos Islands;;0.576831433;36.21052792;
Chad;51.24716851;89.2400627;3.972045821;
East Asia & Pacific (IDA & IBRD countries);48.28311394;15.83215773;29.63738839;85.57760364
Europe & Central Asia (IDA & IBRD countries);24.04547776;6.802529038;38.76930142;89.32874706
Togo;28.93629146;72.1615066;3.820555305;17.80063303
Thailand;29.36464114;24.09572604;32.0401652;79.83902265
Tajikistan;46.48082923;45.75639236;2.965717131;45.98414186
Turkmenistan;22.08490686;0.041261664;8.782159045;
Latin America & the Caribbean (IDA & IBRD countries);18.39823316;27.34965115;46.45974383;73.16127163
