Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest,livestock index,crecimiento poblacional,crop production
Bhutan,4083967373,87.025618,NA,5.77649554,1001.091,5098820000,72.0153749,98.18,1.23391155,99.01
Botswana,2415127779,28.800521,74.6879841,4.14928989,7033.306,5160300000,19.3076071,128.96,1.25643945,121.82
Central African Republic,4935636376,76.9030412,NA,0.08107052,300.694,8.94E+10,35.6120575,127.32,0.36429095,108.5
Canada,7428419864,22.0246515,73.1928743,2.86845397,537193.498,2.04E+11,38.1717944,85.7,1.00533758,129.62
Central Europe and the Baltics,1860919623,17.0412435,76.2453638,3.04118584,636385.848,NA,34.0397803,96.7676443,-0.20975719,115.819083
Switzerland,1138910719,23.4181472,48.7418599,2.44917953,35305.876,1.17E+11,31.6378156,107.59,1.22010397,107.87
Channel Islands,NA,NA,NA,NA,NA,NA,4.04040426,NA,0.64926956,NA
Chile,2286825181,26.7170993,73.2505438,1.76673978,82562.505,1.52E+13,23.4478119,111.84,1.06114513,110.32
China,5976736751,12.223823,87.6704308,7.29951892,10291926.9,NA,22.0253985,127.06,0.50631159,136.31
Cote d'Ivoire,2090017764,72.2237845,26.49233,8.79407739,11045.004,1.78E+12,32.7088063,131.82,2.50454869,128.73
Cameroon,5671530558,76.9753908,38.3178572,5.88405933,7003.97,1.87E+12,40.2699329,125.23,2.70155572,163.67
"Congo, Dem. Rep.",425494471,92.8713111,5.35581414,9.4702881,4671.758,1.09E+12,67.4398034,106.78,3.31967667,109.46
"Congo, Rep.",4585281627,62.3963358,40.4806034,6.77991616,3094.948,1.74E+11,65.4448035,166.38,2.44063896,123.44
Colombia,1834420526,24.4418091,76.6856926,4.72831225,84091.644,9.78E+13,52.7521054,122.31,1.00987227,110.35
Comoros,2150207199,46.6155909,NA,2.10000644,154.014,NA,20.0967224,108.42,2.38335748,104.99
Cabo Verde,3162108111,26.196423,NA,0.61121267,491.378,8125930500,22.0694795,76.86,1.26620961,108.39
Costa Rica,1754363411,37.8425411,49.8802727,3.51533856,7759.372,3.18E+12,53.3842548,123.55,1.11747392,129.95
Caribbean small states,1996653424,8.54825287,96.9043426,0.49330215,63637.118,NA,85.1219211,109.507577,0.70336466,108.022611
Cuba,2129623433,18.7984429,85.5964146,1.04757663,34836.5,6779000000,30.2480283,143.94,0.2140984,87.82
Curacao,NA,0.34898972,NA,-1.1388386,5881.868,NA,NA,NA,1.3476414,NA
Cayman Islands,NA,0,NA,2.65452798,542.716,31953100,52.9166659,100.34,1.5168365,105.91
Cyprus,1829352737,9.36329568,92.906215,-1.8637398,6061.551,683117000,18.6937225,89.21,0.73331743,64.05
Czech Republic,1739121549,14.8307421,75.2785222,2.71511613,96475.103,1.05E+12,34.5117845,85.47,0.10527758,118.35
Germany,1275122057,13.3788782,79.7105269,2.22568875,719883.438,6.12E+11,32.7228432,112.02,0.41687736,111.9
Djibouti,4125972754,34.1510475,NA,7.06154324,722.399,1.09E+10,0.24158757,134.13,1.72878549,125.72
Dominica,2101030747,8.61179767,NA,4.44794736,135.679,33740000,58.1333313,103.95,0.09711403,111.61
Denmark,1106670453,30.2716313,67.7045581,1.61939382,33498.045,2.54E+11,14.4601094,99.23,0.50705328,112.08
