Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest,livestock index,crecimiento poblacional,crop production
Latin America & the Caribbean (IDA & IBRD countries),1839823316,27.3496512,73.1612716,1.03930561,1844357.99,NA,46.4597438,122.458916,1.09295382,135.574159
Timor-Leste,2045010047,18.4224884,NA,-25.907172,469.376,11381600,46.8863492,114.43,1.80755609,111.69
Middle East & North Africa (IDA & IBRD countries),4941244326,2.52759848,97.9470497,2.11285025,1415553.68,NA,2.5136919,124.366919,1.79753826,112.137028
Tonga,1205763996,1.69762931,NA,2.07260726,121.011,47700000,12.5,107.39,-0.72980067,139.01
South Asia (IDA & IBRD),8306717057,38.9975422,71.5235235,6.99260221,2516434.75,NA,17.4489087,140.199854,1.28205389,141.065101
Sub-Saharan Africa (IDA & IBRD countries),3720808578,70.2864319,39.7893658,4.65892656,822819.034,NA,27.8067009,112.700665,2.74841869,135.431069
Trinidad and Tobago,2485584226,0.28038013,99.9195064,-0.912545,46273.873,3.11E+10,45.391813,120.85,0.63636933,60.65
Tunisia,3469205883,12.9336297,88.8703881,2.97139835,28829.954,1.06E+10,6.63491278,124.7,1.00154579,104.17
Turkey,4259577121,11.6078875,89.5439509,5.16669072,345981.45,2.36E+11,15.0885485,165.42,1.70197239,109.66
Tuvalu,NA,0,NA,1.34801268,11.001,NA,33.3333333,105.41,1.05365398,110.02
Tanzania,2887371592,86.6736033,14.380617,6.73246187,11562.051,6.92E+12,52.4181531,144.77,3.00210408,192.36
Uganda,4693056685,90.2221301,NA,5.10630732,5229.142,3.84E+12,11.0323157,126.61,3.35231963,86.21
Ukraine,2048689522,3.49974622,75.3495058,-6.5526189,227298.995,1.19E+11,16.6327749,103.21,-0.47961593,167.16
Upper middle income,429799373,13.1480721,87.0276735,4.04758582,16827139.3,NA,34.5873583,125.859989,0.79003392,131.666879
Uruguay,9926816159,55.3913387,46.2703079,3.23879123,6747.28,8.64E+10,10.4117244,103.57,0.32386496,183.45
United States,8220720319,8.75430895,83.0890424,2.45197304,5254279.29,2.11E+12,33.8696594,108.75,0.73409282,114.95
Uzbekistan,289000361,2.89678351,NA,7.17940886,105213.564,1.12E+13,7.59525157,140.25,1.68690036,153.14
St. Vincent and the Grenadines,2303093206,5.8009473,NA,1.21403892,209.019,62070000,69.2307692,98.38,0.21978738,115.58
"Venezuela, RB",1910406153,12.3158343,NA,-3.8943865,185220.17,7913800000,53.1119533,132.91,0.8743785,106.36
British Virgin Islands,NA,1.21680519,NA,NA,179.683,NA,24.1333326,99.72,0.49104463,119.96
Virgin Islands (U.S.),111658167,2.75500251,NA,-0.8662175,NA,NA,50.5999974,109.13,-0.14819757,NA
Vietnam,3489601505,37.0354726,NA,5.98365464,166910.839,4.00E+14,47.2280453,148.69,1.05347955,134.5
Vanuatu,1193385168,32.1428307,NA,2.33100621,154.014,1654000000,36.09516,111.73,2.78699288,126.14
World,4593996796,17.870184,80.9114077,2.83318477,36138285,NA,30.769568,118.883783,1.18104392,128.112613
Samoa,1264355999,42.3350774,NA,0.07824545,198.018,153714467,60.4240283,111.77,0.78550979,114.94
Kosovo,NA,21.4611559,86.121582,1.22280258,NA,555065519,NA,NA,-0.12616914,NA
"Yemen, Rep.",4833865267,0.97420097,NA,-0.1886902,22698.73,5.42E+10,1.03983181,160.8,2.65414096,119.61
South Africa,2672221238,16.5881622,86.7914317,1.8469916,489771.854,3.82E+11,7.61773652,129.49,1.58316829,123.42
Zambia,2849325189,88.0340373,NA,4.69582637,4503.076,9663700000,65.6473743,196.97,3.12130456,181.2
Zimbabwe,2280594966,81.0492915,NA,2.37692933,12020.426,2267427700,37.1575556,106.13,1.75469235,101.01
