Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas,forest
Ethiopia,3504359745,92.0676519,6.56980663,10.257493,11598.721,6.14E+10,12.4584004
European Union,1381144457,16.2201386,71.1703988,1.73895916,3241844.35,NA,37.9139175
Fragile and conflict affected situations,4010985565,51.7335765,57.5783553,1.09020852,422731.856,NA,27.47889
Finland,6468639868,41.2352406,42.1825268,-0.3649403,47300.633,3.09E+10,73.1119813
Fiji,1192289283,34.5718209,NA,5.60351489,1169.773,976666071,55.4099632
France,1228970307,13.3470246,46.2259231,0.95618305,303275.568,2.28E+11,30.820536
Faroe Islands,NA,6.5358151,NA,NA,597.721,NA,0.05730659
"Micronesia, Fed. Sts.",1186686885,1.15799036,NA,-2.3057786,150.347,796884.11,91.7714255
Gabon,4131956969,81.3516097,22.7865163,4.31496444,5192.472,6.90E+11,88.4852719
United Kingdom,1080055978,7.39522046,82.7165785,2.60747591,419820.162,1.78E+11,12.9252263
Georgia,2296670742,31.8929763,72.2095353,4.4,8987.817,2920661521,40.6159146
Ghana,258895233,45.0494921,52.5430601,2.89743884,14466.315,1.42E+10,40.9097284
Gibraltar,NA,0,99.5128172,NA,528.048,NA,0
Guinea,2119667275,78.5178753,NA,3.69654118,2449.556,5.01E+12,26.0459059
"Gambia, The",3062189539,51.9307948,NA,-1.4073825,513.38,2865917800,48.0632405
Guinea-Bissau,2694095978,87.0600171,NA,0.96456075,271.358,4.76E+10,70.4836415
Equatorial Guinea,4430179969,7.6432749,NA,0.4150663,5346.486,1.59E+12,56.3137246
Greece,1736504185,16.0857927,86.0493172,0.73977714,67318.786,1.59E+10,31.2164472
Grenada,2428703113,11.0768146,NA,7.34407652,242.022,60112100,49.9705876
Greenland,1251054773,14.900476,NA,4.74213567,506.046,1233400000,0.000536
Guatemala,2652785542,59.9010023,37.378597,4.17416914,18327.666,4.09E+10,33.3743925
Guam,1202255289,0,NA,1.73330707,NA,NA,46.2962963
Guyana,2364826569,24.0152013,NA,3.89824321,2009.516,2.72E+10,84.003048
High income,1498694811,11.0149873,81.1567011,2.02610192,12939717.4,NA,28.9028205
"Hong Kong SAR, China",NA,0.85814192,93.1728816,2.76239642,46222.535,2.77E+10,NA
Honduras,2316154008,54.0409418,52.4793125,3.05808056,9471.861,3.58E+10,42.1127893
Heavily indebted poor countries (HIPC),3638687945,77.9792426,22.3319447,5.53920288,186998.665,NA,30.7878152
Croatia,1843310352,33.6481913,70.7036623,-0.1038682,16842.531,4.23E+10,34.338813
Haiti,1626222456,78.3912383,22.015894,2.77630014,2860.26,1116948100,3.5486213
Hungary,1631532793,15.6745498,68.1924014,4.19508241,42086.159,6.50E+12,22.8034895
IBRD only,5392514774,17.2729441,84.41351,4.27241023,20783364.2,NA,33.8652555
IDA & IBRD total,5172516235,22.7342092,80.8474315,4.36436131,21583850.7,NA,31.9252409
IDA total,4495598192,66.5305116,34.3827013,5.68335021,792614.145,NA,26.3055112
IDA blend,4845870018,62.687211,36.2393232,5.80065289,439412.943,NA,20.2840142
Indonesia,1645463183,37.4542683,66.0894755,5.00666843,464176.194,1.85E+15,50.6159842
IDA only,4315482551,70.1981937,32.5658382,5.56026184,350958.198,NA,28.2984672
