Country Name,Air Pollution,energía_renovable,energia_fosil,crec pib,emisiones de co2,Manufacturas
Lao PDR,2839017177,60.4741412,NA,7.61196344,1954.511,8.33E+12
Lebanon,3044456692,3.23351915,97.6211011,1.88428566,24070.188,4.45E+12
Liberia,1494227071,83.9355343,NA,0.70114391,935.085,31022900
Libya,4750123391,1.75392908,99.1112964,-24,56996.181,NA
St. Lucia,2423630259,2.14586618,NA,1.33884906,407.037,158481700
Latin America & Caribbean,1839993651,27.082993,73.3463372,1.00102316,1912531.5,NA
Least developed countries: UN classification,444218263,73.4133848,28.2241049,5.43862426,293488.706,NA
Low income,4004779592,76.2227212,21.1340481,5.78270499,196277.45,NA
Liechtenstein,NA,62.5920263,NA,NA,44.004,NA
Sri Lanka,2692277652,57.5851811,50.545574,4.96070059,18393.672,1.30E+12
Lower middle income,6265168718,40.3659338,66.1653241,5.65762858,4184823.35,NA
Low & middle income,519354768,22.8240268,80.727598,4.41915792,21213767.3,NA
Lesotho,3308010261,51.3888985,NA,2.81728949,2467.891,2130059765
Late-demographic dividend,45022155,14.0706825,86.1823331,4.58948643,15089660.9,NA
Lithuania,1284519425,27.7050525,67.9937495,3.50797122,12838.167,6235132100
Luxembourg,1085761339,6.88323194,83.3317527,4.29678635,9658.878,2104516600
Latvia,148790851,40.2360616,56.7174276,1.91519038,6974.634,2520966000
"Macao SAR, China",NA,10.0204706,NA,-1.2010897,1283.45,1965000000
St. Martin (French part),NA,NA,NA,NA,NA,NA
Morocco,2994944999,11.7185873,88.4688628,2.66949393,59863.775,1.24E+11
Monaco,NA,NA,NA,7.2,NA,NA
Moldova,1672646105,13.04735,88.6880222,4.99962558,4932.115,1.16E+10
Madagascar,2351776666,72.0265271,NA,3.33920311,3076.613,1.44E+12
Maldives,9921230863,0.9030324,NA,7.3296262,1334.788,1128789700
Middle East & North Africa,5052272979,1.60152504,97.3590212,2.89734756,2593273.89,NA
Mexico,2309968975,9.75846242,90.27849,2.80434013,480270.657,2.68E+12
Marshall Islands,1107022018,12.0189983,NA,-0.9399653,102.676,10287600
Middle income,5332300771,20.704621,82.0962696,4.40018255,21011743.3,NA
North Macedonia,3179054123,21.2042386,79.4259147,3.62964131,7510.016,4.41E+10
Mali,3391611574,64.5912607,NA,7.0433562,1411.795,NA
Malta,1443540357,3.93010086,97.7884617,8.70631522,2346.88,NA
Myanmar,4028896854,66.1328538,44.2898952,7.9909156,21631.633,1.14E+13
Middle East & North Africa (excluding high income),4922615176,2.56679436,97.9470497,2.09461398,1418044.78,NA
Montenegro,2194705168,45.9943349,64.664697,1.78368205,2211.201,81337640.9
Mongolia,3929514006,3.26984282,93.1993828,7.88522548,20839.561,8.96E+11
Northern Mariana Islands,103134722,0,NA,3.78590078,NA,NA
Mozambique,2261416414,88.8570478,12.6199535,7.3985128,8426.766,4.46E+10
Mauritania,4311078408,32.0193358,NA,5.57987896,2709.913,5204684941
Mauritius,1529264823,10.6338613,84.5423603,3.74457577,4228.051,4.26E+10
Malawi,2519822884,79.950879,NA,5.7,1276.116,1.13E+11
Malaysia,1692315529,4.76977364,96.6281989,6.00672195,242821.406,2.50E+11
North America,8142225682,10.2205287,81.9794017,2.49301543,5792048.5,NA
Namibia,2601812153,27.6174718,66.7190908,6.35167796,3755.008,1.06E+10
New Caledonia,NA,3.98252302,NA,NA,4290.39,NA
Niger,6054135722,78.1414385,24.0603682,7.52904307,2126.86,2.07E+11
Nigeria,4863337361,87.2992478,18.8767668,6.30971866,96280.752,6.68E+12
Nicaragua,1938772134,51.8392836,40.6953921,4.78452532,4862.442,2.43E+10
Netherlands,1282879707,5.65962774,90.9218839,1.42339541,167303.208,7.40E+10
Norway,7670895927,57.1964019,57.9782333,1.9695443,47626.996,2.24E+11
Nepal,9811601657,84.3747891,15.4826794,5.98898466,8030.73,4.79E+10
Nauru,NA,0.07885016,NA,36.5240981,47.671,5848900
New Zealand,6357903512,30.3226371,59.8468441,3.71553307,34664.151,2.81E+10
OECD members,1522625036,11.8019033,80.2116345,2.0362613,12151110.5,NA
Oman,3771088051,0,99.9631687,2.75103164,61169.227,1.36E+10
Other small states,3246595015,27.0011388,81.4485189,2.87318554,216360.821,NA
Pakistan,5951836271,46.6045297,61.5853615,4.67470798,166298.45,1.39E+12
Panama,1292161513,19.7707886,80.712662,5.06674322,8800.8,1992300000
Peru,275826726,25.9968649,79.5556836,2.38215737,61744.946,6.74E+10
Philippines,2025958716,28.5821719,62.4348963,6.14529879,105653.604,1.67E+12
Palau,NA,0,NA,4.37341343,260.357,2388800
Papua New Guinea,1324529823,52.5523496,NA,13.5437706,6318.241,1154701874
Poland,2221089179,11.5693155,90.0879643,3.31844754,285739.974,2.71E+11
Pre-demographic dividend,4052465139,75.3954028,31.7420525,4.79880299,445746.137,NA
Puerto Rico,9089227717,1.62786914,NA,-1.1903635,NA,NA
"Korea, Dem. People’s Rep.",352402154,21.033187,62.0519948,NA,40527.684,NA
Portugal,878479289,30.4570081,72.8127263,0.79219111,45052.762,2.12E+10
Paraguay,126410755,63.1169353,33.703312,4.86089037,5702.185,3.38E+13
West Bank and Gaza,3344828276,10.5302585,NA,-0.181891,NA,1460950700
Pacific island small states,1200545886,32.6587923,NA,3.81136177,2478.892,NA
Post-demographic dividend,1243480438,11.5619325,79.6636302,1.86899976,11313886.8,NA
French Polynesia,NA,10.1623565,NA,NA,803.073,NA
Qatar,7883284035,0,99.9950267,3.97888215,107853.804,7.69E+10
Romania,1500649546,24.3318801,72.5236946,3.4108091,70003.03,7.65E+10
Russian Federation,1658216295,3.42242695,92.1428758,0.69997368,1705345.68,1.02E+13
Rwanda,4221148744,88.1813038,NA,6.16410061,839.743,3.22E+11
South Asia,8306717057,38.9975422,71.5235235,6.99260221,2516434.75,NA
Saudi Arabia,7560844062,0.00600874,99.9280186,3.6524817,601046.969,2.80E+11
Sudan,4814174218,62.4360285,31.7265266,2.67941181,15364.73,NA
Senegal,3682683776,43.3570636,53.9091172,6.61307474,8855.805,1.66E+12
Singapore,1740887705,0.62162522,90.5788736,3.90057323,56372.791,8.07E+10
Solomon Islands,1217203082,62.9931406,NA,2.25009095,201.685,NA
